season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
2016,980989,Kolkata Knight Riders v Rising Pune Supergiants,KKR v RPS,KKR,RPS,Gautam Gambhir,MS Dhoni,"Eden Gardens, Kolkata",Kolkata Knight Riders , Rising Pune Supergiants
2016,980991,Kings XI Punjab v Sunrisers Hyderabad,KXIP v SRH,KXIP,SRH,Murali Vijay,David Warner,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Sunrisers Hyderabad
2016,980993,Mumbai Indians v Delhi Daredevils,MI v DC,MI,DC,Rohit Sharma,Zaheer Khan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians , Delhi Darede
2016,980995,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,KKR,RCB,Gautam Gambhir,Virat Kohli,"Eden Gardens, Kolkata",Kolkata Knight Riders , Royal Challengers Bangalore
2016,980997,Rising Pune Supergiants v Delhi Daredevils,RPS v DC,RPS,DC,MS Dhoni,Zaheer Khan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants , Delhi Darede
2016,980999,Royal Challengers Bangalore v Kings XI Punjab,RCB v KXIP,RCB,KXIP,Virat Kohli,Murali Vijay,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Kings XI Punjab
2016,981001,Gujarat Lions v Kolkata Knight Riders,GL v KKR,GL,KKR,Suresh Raina,Gautam Gambhir,"Green Park, Kanpur",Gujarat Lions , Kolkata Knight Riders
2016,981003,Delhi Daredevils v Sunrisers Hyderabad,DC v SRH,DC,SRH,Zaheer Khan,David Warner,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Darede,ils 
2016,981005,Rising Pune Supergiants v Kings XI Punjab,RPS v KXIP,RPS,KXIP,MS Dhoni,Murali Vijay,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants , Kings XI Punjab
2016,981007,Gujarat Lions v Mumbai Indians,GL v MI,GL,MI,Suresh Raina,Rohit Sharma,"Green Park, Kanpur",Gujarat Lions , Mumbai Indians
2016,981009,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,KKR,SRH,Gautam Gambhir,David Warner,"Eden Gardens, Kolkata",Kolkata Knight Riders , Sunrisers Hyderabad
2016,981011,Delhi Daredevils v Royal Challengers Bangalore,DC v RCB,DC,RCB,Zaheer Khan,Virat Kohli,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Darede,ils 
2016,981013,Royal Challengers Bangalore v Gujarat Lions,RCB v GL,RCB,GL,Virat Kohli,Suresh Raina,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Gujarat Lions
2016,981015,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,KKR,SRH,Gautam Gambhir,David Warner,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders , Sunrisers Hyderabad
2016,981017,Gujarat Lions v Sunrisers Hyderabad,GL v SRH,GL,SRH,Suresh Raina,David Warner,"Arun Jaitley Stadium, Delhi",Gujarat Lions , Sunrisers Hyderabad
2016,981019,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,RCB,SRH,Virat Kohli,David Warner,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Sunrisers Hyderabad
2015,829705,Kolkata Knight Riders v Mumbai Indians,KKR v MI,KKR,MI,Gautam Gambhir,Rohit Sharma,"Eden Gardens, Kolkata",Kolkata Knight Riders , Mumbai Indians
2015,829707,Chennai Super Kings v Delhi Daredevils,CSK v DC,CSK,DC,MS Dhoni,Jean-Paul Duminy,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Delhi Darede
2015,829709,Kings XI Punjab v Rajasthan Royals,KXIP v RR,KXIP,RR,George Bailey,Steven Smith,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab , Rajasthan Royals
2015,829711,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,CSK,SRH,MS Dhoni,David Warner,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings , Sunrisers Hyderabad
2015,829713,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,KKR,RCB,Gautam Gambhir,Virat Kohli,"Eden Gardens, Kolkata",Kolkata Knight Riders , Royal Challengers Bangalore
2015,829715,Delhi Daredevils v Rajasthan Royals,DC v RR,DC,RR,Jean-Paul Duminy,Steven Smith,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2015,829717,Mumbai Indians v Kings XI Punjab,MI v KXIP,MI,KXIP,Rohit Sharma,George Bailey,"Wankhede Stadium, Mumbai",Mumbai Indians , Kings XI Punjab
2015,829719,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,RCB,SRH,Virat Kohli,David Warner,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Sunrisers Hyderabad
